org_id,pwsid,supplier_name,year,avg_shortage_level,data_type
1792,"CA5805001,CA5810003",olivehurst public utilities district,2022,1.6,Actual
1793,CA3710029,olivenhain municipal water district,2022,0.7,Actual
1795,CA3610034,city of ontario,2022,2.5,Actual
1797,CA3010027,city of orange,2022,1.6,Actual
1803,CA3410016,orangevale water company,2022,1.7,Actual
1804,CA1910101,orchard dale water district,2022,2.0,Actual
1821,CA3710034,otay water district,2022,1.7,Actual
1827,CA5610007,city of oxnard,2022,2.0,Actual
1838,CA3710037,padre dam municipal water district,2022,1.0,Actual
1849,CA1910102,palmdale water district,2022,2.0,Actual
1851,CA4310009,city of palo alto,2022,1.7,Actual
1859,CA0410007,paradise irrigation district,2022,0.1,Actual
1866,CA1910105,city of paramount,2022,1.4,Actual
1869,"CA1910021,CA1910161,CA1910211",liberty utilities (park water) corp,2022,1.6,Actual
1873,CA1910124,city of pasadena,2022,2.0,Actual
1875,CA4010007,city of paso robles,2022,0.0,Actual
1877,CA5010017,city of patterson,2022,1.0,Actual
1894,CA4910006,city of petaluma,2022,3.1,Actual
1896,CA3610120,phelan pinon hills community services district,2022,0.0,Actual
1899,CA1910042,city of pico rivera,2022,1.4444444444444444,Actual
1900,CA1910125,pico water district,2022,1.4,Actual
1923,CA4010008,city of pismo beach,2022,2.8333333333333335,Actual
1925,CA0710008,city of pittsburg,2022,1.8888888888888888,Actual
1927,"CA3110005,CA3110006,CA3110024,CA3110025,CA3110040,CA3110050,CA3110124",placer county water agency,2022,2.0,Actual
1940,CA0110008,city of pleasanton,2022,2.0,Actual
1945,CA1910126,city of pomona,2022,1.7777777777777777,Actual
1953,CA5610009,city of port hueneme,2022,1.6,Actual
1956,CA5410010,city of porterville,2022,1.7,Actual
1964,CA3710015,city of poway,2022,1.7,Actual
1983,CA1910130,quartz hill water district,2022,2.0,Actual
1990,CA3710016,rainbow municipal water district,2022,0.0,Actual
1996,CA3710019,ramona municipal water district,2022,1.6666666666666667,Actual
2000,CA3310038,rancho california water district,2022,1.9,Actual
2031,CA5210004,city of red bluff,2022,1.1,Actual
2033,CA4510005,city of redding,2022,1.8,Actual
2035,CA3610037,city of redlands,2022,2.0,Actual
2037,CA4110022,redwood city,2022,2.0,Actual
2042,CA1010027,city of reedley,2022,0.0,Actual
2049,CA3610038,city of rialto,2022,1.7,Actual
2057,"CA3710018,CA3710044",rincon del diablo municipal water district,2022,2.0,Actual
2060,CA3410018,rio linda - elverta community water district,2022,2.0,Actual
2063,CA4810004,city of rio vista,2022,1.8,Actual
2065,CA3910007,city of ripon,2022,1.4,Actual
2074,CA5010018,city of riverbank,2022,0.0,Actual
